Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Army West Point,Chanse Perkins,,F,6,0,2.3,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.5,1.2,0.429,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,0.5
Army West Point,Blane St. Clair,,G,8,1,3.8,0.1,1.0,0.125,0.0,0.5,0.0,0.1,0.5,0.25,0.125,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.3,0.0,0.5,0.3
Army West Point,Griff Lamb,,F,2,1,0.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army West Point,Luke Benson,,G,6,1,3.5,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Boston University,Kyrone Alexander,,G,30,30,30.4,4.3,10.5,0.411,1.5,5.0,0.307,2.8,5.5,0.506,0.484,2.8,3.5,0.8,1.6,3.6,5.1,1.9,1.2,0.4,2.5,1.6,12.9
Boston University,Miles Brewster,,G,32,32,26.0,3.9,9.1,0.425,1.4,4.2,0.331,2.5,5.0,0.503,0.5,1.5,2.2,0.686,0.3,3.4,3.8,2.3,1.3,0.1,1.8,2.0,10.6
Boston University,Michael McNair,,G,31,31,29.2,3.3,7.6,0.43,2.2,5.5,0.408,1.1,2.2,0.485,0.576,1.3,1.8,0.709,1.0,2.3,3.3,1.5,0.6,0.1,1.8,1.9,10.1
Boston University,Ethan Okwuosa,,G,1,1,26.0,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0
Boston University,Malcolm Chimezie,,F,32,32,21.2,3.6,6.4,0.564,0.0,0.1,0.0,3.6,6.3,0.569,0.564,1.1,2.4,0.455,1.8,3.1,5.0,0.8,0.3,0.8,1.3,2.0,8.3
Boston University,Azmar Abdullah,,G,32,0,18.0,2.2,5.8,0.38,1.2,3.2,0.376,1.0,2.6,0.386,0.484,1.2,1.5,0.776,0.4,1.0,1.4,0.8,0.5,0.0,1.2,2.1,6.8
